date,open,high,low,close
"2022-09-09 11:42:00",17854,17860,17853,17859
"2022-09-09 11:43:00",17860,17866,17859,17859
"2022-09-09 11:44:00",17859,17861,17857,17858
"2022-09-09 11:45:00",17859,17864,17858,17863
"2022-09-09 11:46:00",17862,17864,17858,17858
"2022-09-09 11:47:00",17859,17859,17855,17855
"2022-09-09 11:48:00",17855,17857,17854,17855
"2022-09-09 11:49:00",17855,17856,17853,17854
"2022-09-09 11:50:00",17854,17857,17853,17857
"2022-09-09 11:51:00",17857,17861,17856,17859
"2022-09-09 11:52:00",17859,17861,17855,17855
"2022-09-09 11:53:00",17855,17860,17855,17859
"2022-09-09 11:54:00",17860,17865,17859,17862
"2022-09-09 11:55:00",17863,17868,17863,17867
"2022-09-09 11:56:00",17867,17868,17863,17863
"2022-09-09 11:57:00",17864,17864,17862,17862
"2022-09-09 11:58:00",17863,17863,17861,17861
"2022-09-09 11:59:00",17861,17862,17859,17861
"2022-09-09 12:00:00",17861,17862,17851,17854
"2022-09-09 12:01:00",17854,17855,17848,17849
"2022-09-09 12:02:00",17849,17850,17844,17844
"2022-09-09 12:03:00",17843,17844,17838,17839
"2022-09-09 12:04:00",17839,17842,17839,17840
"2022-09-09 12:05:00",17840,17842,17838,17841
"2022-09-09 12:06:00",17841,17847,17840,17847
"2022-09-09 12:07:00",17847,17847,17838,17838
"2022-09-09 12:08:00",17839,17843,17837,17840
"2022-09-09 12:09:00",17840,17843,17840,17842
"2022-09-09 12:10:00",17841,17843,17838,17843
"2022-09-09 12:11:00",17843,17845,17842,17843
"2022-09-09 12:12:00",17842,17844,17837,17837
"2022-09-09 12:13:00",17837,17838,17829,17829
"2022-09-09 12:14:00",17830,17831,17825,17825
"2022-09-09 12:15:00",17825,17831,17822,17830
"2022-09-09 12:16:00",17830,17832,17828,17831
"2022-09-09 12:17:00",17831,17836,17831,17833
"2022-09-09 12:18:00",17833,17835,17832,17833
"2022-09-09 12:19:00",17833,17844,17833,17842
"2022-09-09 12:20:00",17842,17843,17841,17841
"2022-09-09 12:21:00",17841,17841,17837,17837
"2022-09-09 12:22:00",17837,17838,17835,17835
"2022-09-09 12:23:00",17835,17836,17834,17834
"2022-09-09 12:24:00",17834,17836,17834,17834
"2022-09-09 12:25:00",17834,17835,17826,17826
"2022-09-09 12:26:00",17825,17828,17819,17819
"2022-09-09 12:27:00",17820,17821,17817,17817
"2022-09-09 12:28:00",17817,17822,17817,17822
"2022-09-09 12:29:00",17822,17826,17820,17825
"2022-09-09 12:30:00",17824,17825,17821,17821
"2022-09-09 12:31:00",17821,17830,17821,17829
"2022-09-09 12:32:00",17829,17833,17829,17831
"2022-09-09 12:33:00",17831,17835,17830,17835
"2022-09-09 12:34:00",17835,17838,17834,17837
"2022-09-09 12:35:00",17838,17846,17837,17846
"2022-09-09 12:36:00",17846,17852,17846,17850
"2022-09-09 12:37:00",17850,17852,17848,17851
"2022-09-09 12:38:00",17851,17852,17846,17850
"2022-09-09 12:39:00",17850,17851,17846,17847
"2022-09-09 12:40:00",17847,17854,17847,17854
"2022-09-09 12:41:00",17854,17856,17852,17852
"2022-09-09 12:42:00",17852,17854,17850,17852
"2022-09-09 12:43:00",17852,17856,17851,17853
"2022-09-09 12:44:00",17854,17860,17854,17859
"2022-09-09 12:45:00",17859,17860,17855,17860
"2022-09-09 12:46:00",17860,17861,17854,17855
"2022-09-09 12:47:00",17854,17855,17852,17853
"2022-09-09 12:48:00",17853,17858,17852,17855
"2022-09-09 12:49:00",17855,17856,17850,17851
"2022-09-09 12:50:00",17851,17856,17850,17855
"2022-09-09 12:51:00",17855,17856,17845,17846
"2022-09-09 12:52:00",17846,17849,17845,17846
"2022-09-09 12:53:00",17846,17848,17845,17847
"2022-09-09 12:54:00",17847,17849,17845,17845
"2022-09-09 12:55:00",17845,17847,17844,17847
"2022-09-09 12:56:00",17847,17850,17846,17849
"2022-09-09 12:57:00",17849,17851,17848,17851
"2022-09-09 12:58:00",17850,17855,17850,17852
"2022-09-09 12:59:00",17853,17856,17852,17853
"2022-09-09 13:00:00",17853,17857,17853,17857
"2022-09-09 13:01:00",17857,17859,17856,17859
"2022-09-09 13:02:00",17859,17860,17852,17852
"2022-09-09 13:03:00",17852,17853,17841,17842
"2022-09-09 13:04:00",17841,17842,17833,17834
"2022-09-09 13:05:00",17835,17837,17828,17829
"2022-09-09 13:06:00",17829,17830,17827,17827
"2022-09-09 13:07:00",17828,17835,17827,17835
"2022-09-09 13:08:00",17835,17838,17835,17836
"2022-09-09 13:09:00",17836,17840,17836,17838
"2022-09-09 13:10:00",17839,17839,17833,17837
"2022-09-09 13:11:00",17837,17840,17837,17838
"2022-09-09 13:12:00",17840,17840,17831,17832
"2022-09-09 13:13:00",17832,17834,17830,17834
"2022-09-09 13:14:00",17834,17835,17829,17829
"2022-09-09 13:15:00",17830,17837,17827,17836
"2022-09-09 13:16:00",17837,17837,17835,17835
"2022-09-09 13:17:00",17835,17836,17820,17823
"2022-09-09 13:18:00",17823,17831,17822,17830
"2022-09-09 13:19:00",17830,17831,17825,17826
"2022-09-09 13:20:00",17826,17829,17825,17828
"2022-09-09 13:21:00",17828,17828,17817,17817
"2022-09-09 13:22:00",17818,17819,17807,17808
"2022-09-09 13:23:00",17807,17809,17803,17806
"2022-09-09 13:24:00",17807,17807,17800,17800
"2022-09-09 13:25:00",17800,17801,17786,17792
"2022-09-09 13:26:00",17793,17805,17791,17804
"2022-09-09 13:27:00",17805,17808,17803,17808
"2022-09-09 13:28:00",17806,17811,17805,17810
"2022-09-09 13:29:00",17811,17813,17808,17812
"2022-09-09 13:30:00",17812,17816,17808,17815
"2022-09-09 13:31:00",17814,17817,17813,17815
"2022-09-09 13:32:00",17815,17817,17808,17809
"2022-09-09 13:33:00",17808,17817,17806,17817
"2022-09-09 13:34:00",17816,17818,17815,17817
"2022-09-09 13:35:00",17817,17827,17816,17827
"2022-09-09 13:36:00",17827,17827,17817,17820
"2022-09-09 13:37:00",17821,17821,17816,17816
"2022-09-09 13:38:00",17816,17817,17807,17808
"2022-09-09 13:39:00",17809,17814,17808,17814
"2022-09-09 13:40:00",17814,17816,17806,17810
