Date,Open,High,Low,Close
2022-08-22 12:05:00,17570,17585,17570,17574
2022-08-22 12:10:00,17574,17583,17574,17574
2022-08-22 12:15:00,17574,17586,17574,17579
2022-08-22 12:20:00,17578,17586,17576,17579
2022-08-22 12:25:00,17579,17584,17577,17582
2022-08-22 12:30:00,17582,17593,17578,17589
2022-08-22 12:35:00,17589,17597,17583,17583
2022-08-22 12:40:00,17582,17588,17565,17566
2022-08-22 12:45:00,17565,17570,17554,17567
2022-08-22 12:50:00,17568,17574,17564,17568
2022-08-22 12:55:00,17568,17570,17537,17542
2022-08-22 13:00:00,17541,17544,17534,17544
2022-08-22 13:05:00,17544,17554,17544,17550
2022-08-22 13:10:00,17550,17552,17540,17546
2022-08-22 13:15:00,17546,17559,17544,17555
2022-08-22 13:20:00,17554,17559,17554,17559
2022-08-22 13:25:00,17559,17564,17535,17539
2022-08-22 13:30:00,17537,17541,17526,17532
2022-08-22 13:35:00,17532,17545,17529,17540
2022-08-22 13:40:00,17540,17546,17530,17533
2022-08-22 13:45:00,17533,17541,17533,17537
2022-08-22 13:50:00,17538,17543,17525,17527
2022-08-22 13:55:00,17528,17541,17523,17531
2022-08-22 14:00:00,17531,17541,17530,17531
2022-08-22 14:05:00,17530,17548,17529,17545
2022-08-22 14:10:00,17545,17546,17535,17541
2022-08-22 14:15:00,17540,17560,17540,17553
2022-08-22 14:20:00,17553,17560,17547,17557
2022-08-22 14:25:00,17555,17560,17551,17559
2022-08-22 14:30:00,17559,17560,17532,17537
2022-08-22 14:35:00,17538,17543,17526,17526
2022-08-22 14:40:00,17526,17529,17516,17519
2022-08-22 14:45:00,17520,17523,17503,17518
2022-08-22 14:50:00,17517,17535,17517,17526
2022-08-22 14:55:00,17527,17529,17498,17509
2022-08-22 15:00:00,17509,17512,17468,17469
2022-08-22 15:05:00,17469,17488,17469,17487
2022-08-22 15:10:00,17487,17495,17483,17495
2022-08-22 15:15:00,17495,17504,17490,17500
2022-08-22 15:20:00,17501,17504,17490,17491
2022-08-22 15:25:00,17492,17496,17488,17494
2022-08-22 15:30:00,17494,17494,17494,17494
2022-08-23 09:15:00,17361,17412,17347,17404
2022-08-23 09:20:00,17405,17454,17395,17452
2022-08-23 09:25:00,17453,17485,17447,17482
2022-08-23 09:30:00,17484,17520,17481,17485
2022-08-23 09:35:00,17486,17532,17479,17529
2022-08-23 09:40:00,17529,17537,17520,17526
2022-08-23 09:45:00,17526,17548,17522,17546
2022-08-23 09:50:00,17547,17572,17545,17569
2022-08-23 09:55:00,17568,17583,17561,17581
2022-08-23 10:00:00,17582,17588,17572,17585
2022-08-23 10:05:00,17584,17586,17560,17563
2022-08-23 10:10:00,17563,17563,17516,17516
2022-08-23 10:15:00,17516,17538,17487,17527
2022-08-23 10:20:00,17528,17538,17517,17535
2022-08-23 10:25:00,17534,17534,17509,17509
2022-08-23 10:30:00,17508,17509,17493,17500
2022-08-23 10:35:00,17501,17501,17456,17456
2022-08-23 10:40:00,17457,17462,17418,17447
2022-08-23 10:45:00,17448,17452,17428,17442
2022-08-23 10:50:00,17443,17443,17423,17434
2022-08-23 10:55:00,17433,17453,17433,17451
2022-08-23 11:00:00,17452,17463,17431,17436
2022-08-23 11:05:00,17436,17440,17412,17413
2022-08-23 11:10:00,17412,17437,17412,17431
2022-08-23 11:15:00,17431,17453,17426,17452
2022-08-23 11:20:00,17452,17475,17445,17475
2022-08-23 11:25:00,17475,17489,17463,17463
2022-08-23 11:30:00,17463,17509,17460,17506
2022-08-23 11:35:00,17505,17505,17482,17486
2022-08-23 11:40:00,17486,17487,17467,17470
2022-08-23 11:45:00,17472,17483,17470,17477
2022-08-23 11:50:00,17477,17485,17457,17483
2022-08-23 11:55:00,17483,17497,17475,17476
2022-08-23 12:00:00,17477,17481,17464,17475
2022-08-23 12:05:00,17475,17477,17455,17459
2022-08-23 12:10:00,17458,17469,17453,17465
2022-08-23 12:15:00,17464,17474,17453,17456
2022-08-23 12:20:00,17456,17461,17451,17455
2022-08-23 12:25:00,17455,17462,17449,17458
2022-08-23 12:30:00,17461,17484,17456,17483
2022-08-23 12:35:00,17482,17496,17482,17489
2022-08-23 12:40:00,17490,17494,17484,17488
2022-08-23 12:45:00,17489,17506,17484,17503
2022-08-23 12:50:00,17503,17532,17503,17531
2022-08-23 12:55:00,17530,17536,17517,17529
2022-08-23 13:00:00,17529,17534,17520,17521
2022-08-23 13:05:00,17522,17534,17508,17526
2022-08-23 13:10:00,17525,17552,17525,17547
2022-08-23 13:15:00,17547,17561,17547,17551
2022-08-23 13:20:00,17550,17563,17544,17562
2022-08-23 13:25:00,17563,17566,17556,17560
2022-08-23 13:30:00,17560,17566,17553,17561
2022-08-23 13:35:00,17562,17570,17558,17564
2022-08-23 13:40:00,17565,17577,17562,17563
2022-08-23 13:45:00,17562,17568,17545,17559
2022-08-23 13:50:00,17559,17561,17545,17556
2022-08-23 13:55:00,17556,17575,17552,17565
2022-08-23 14:00:00,17565,17570,17554,17568
2022-08-23 14:05:00,17569,17583,17568,17580
2022-08-23 14:10:00,17579,17583,17565,17574
2022-08-23 14:15:00,17574,17577,17568,17571
2022-08-23 14:20:00,17572,17593,17571,17589
2022-08-23 14:25:00,17589,17589,17573,17574
2022-08-23 14:30:00,17575,17577,17545,17555
2022-08-23 14:35:00,17556,17580,17552,17577
2022-08-23 14:40:00,17576,17577,17565,17566
2022-08-23 14:45:00,17566,17571,17552,17555
2022-08-23 14:50:00,17555,17561,17544,17552
2022-08-23 14:55:00,17553,17561,17547,17557
2022-08-23 15:00:00,17558,17563,17525,17533
2022-08-23 15:05:00,17533,17564,17529,17564
2022-08-23 15:10:00,17564,17572,17562,17571
2022-08-23 15:15:00,17571,17593,17569,17591
2022-08-23 15:20:00,17591,17616,17590,17615
2022-08-23 15:25:00,17616,17625,17615,17623
2022-08-23 15:30:00,17623,17623,17623,17623
2022-08-24 09:15:00,17548,17605,17548,17575
2022-08-24 09:20:00,17574,17603,17558,17602
2022-08-24 09:25:00,17604,17604,17574,17579
2022-08-24 09:30:00,17569,17573,17528,17529
2022-08-24 09:35:00,17528,17552,17511,17512
2022-08-24 09:40:00,17511,17528,17500,17519
2022-08-24 09:45:00,17519,17547,17509,17532
2022-08-24 09:50:00,17533,17550,17522,17526
2022-08-24 09:55:00,17527,17536,17514,17536
2022-08-24 10:00:00,17536,17564,17531,17564
2022-08-24 10:05:00,17564,17568,17553,17556
2022-08-24 10:10:00,17556,17575,17552,17565
2022-08-24 10:15:00,17565,17576,17560,17576
2022-08-24 10:20:00,17576,17594,17576,17592
2022-08-24 10:25:00,17592,17596,17581,17581
2022-08-24 10:30:00,17581,17587,17569,17580
2022-08-24 10:35:00,17580,17582,17573,17574
2022-08-24 10:40:00,17572,17584,17570,17575
2022-08-24 10:45:00,17575,17589,17575,17587
2022-08-24 10:50:00,17591,17599,17588,17590
2022-08-24 10:55:00,17591,17592,17583,17587
2022-08-24 11:00:00,17588,17596,17586,17596
2022-08-24 11:05:00,17596,17611,17595,17610
2022-08-24 11:10:00,17610,17615,17607,17614
2022-08-24 11:15:00,17614,17622,17606,17615
2022-08-24 11:20:00,17615,17615,17602,17605
2022-08-24 11:25:00,17604,17607,17597,17597
2022-08-24 11:30:00,17598,17613,17594,17613
2022-08-24 11:35:00,17613,17620,17608,17614
2022-08-24 11:40:00,17614,17615,17606,17609
2022-08-24 11:45:00,17609,17617,17606,17616
2022-08-24 11:50:00,17616,17617,17596,17596
2022-08-24 11:55:00,17596,17596,17568,17569
2022-08-24 12:00:00,17568,17572,17559,17568
2022-08-24 12:05:00,17569,17582,17569,17574
2022-08-24 12:10:00,17574,17575,17563,17567
2022-08-24 12:15:00,17567,17574,17562,17563
2022-08-24 12:20:00,17563,17579,17560,17578
2022-08-24 12:25:00,17579,17591,17578,17590
2022-08-24 12:30:00,17590,17598,17585,17592
2022-08-24 12:35:00,17592,17595,17587,17587
2022-08-24 12:40:00,17588,17591,17581,17581
2022-08-24 12:45:00,17581,17582,17568,17574
2022-08-24 12:50:00,17574,17574,17545,17545
2022-08-24 12:55:00,17546,17556,17533,17537
2022-08-24 13:00:00,17539,17550,17531,17541
2022-08-24 13:05:00,17541,17544,17534,17542
2022-08-24 13:10:00,17541,17550,17539,17544
2022-08-24 13:15:00,17543,17548,17534,17535
2022-08-24 13:20:00,17535,17540,17525,17533
2022-08-24 13:25:00,17533,17537,17524,17530
2022-08-24 13:30:00,17530,17551,17529,17543
2022-08-24 13:35:00,17543,17553,17543,17550
2022-08-24 13:40:00,17551,17572,17549,17571
2022-08-24 13:45:00,17570,17580,17566,17575
2022-08-24 13:50:00,17575,17575,17565,17569
2022-08-24 13:55:00,17568,17568,17551,17551
2022-08-24 14:00:00,17551,17585,17551,17572
2022-08-24 14:05:00,17572,17579,17567,17569
2022-08-24 14:10:00,17569,17569,17556,17560
2022-08-24 14:15:00,17561,17573,17558,17569
2022-08-24 14:20:00,17569,17578,17564,17568
2022-08-24 14:25:00,17568,17570,17559,17570
2022-08-24 14:30:00,17572,17579,17568,17573
2022-08-24 14:35:00,17573,17574,17562,17568
2022-08-24 14:40:00,17574,17577,17569,17571
2022-08-24 14:45:00,17573,17578,17572,17578
2022-08-24 14:50:00,17578,17590,17575,17587
2022-08-24 14:55:00,17586,17592,17579,17584
2022-08-24 15:00:00,17585,17597,17582,17594
2022-08-24 15:05:00,17594,17607,17593,17607
2022-08-24 15:10:00,17605,17622,17605,17617
2022-08-24 15:15:00,17618,17618,17605,17610
2022-08-24 15:20:00,17610,17610,17600,17607
2022-08-24 15:25:00,17607,17612,17597,17608
2022-08-24 15:30:00,17604,17604,17604,17604
2022-08-25 09:15:00,17677,17690,17664,17672
2022-08-25 09:20:00,17672,17689,17660,17684
2022-08-25 09:25:00,17684,17703,17679,17695
2022-08-25 09:30:00,17694,17707,17689,17706
2022-08-25 09:35:00,17706,17709,17699,17708
2022-08-25 09:40:00,17708,17708,17696,17704
2022-08-25 09:45:00,17704,17706,17693,17696
2022-08-25 09:50:00,17697,17703,17692,17701
2022-08-25 09:55:00,17700,17707,17700,17706
2022-08-25 10:00:00,17707,17716,17706,17711
2022-08-25 10:05:00,17712,17713,17699,17705
2022-08-25 10:10:00,17704,17705,17691,17694
2022-08-25 10:15:00,17694,17695,17679,17680
